BookVal,MinorBlem,MajorBlem,PowerSeller,IDSeller,Sealed,NegFeedback,ReservePriceFrac,NBidders,FinalPrice
39.5,0,0,0,0,0,0,0.145913181788058,6,40.7735706806283
17.5,0,0,1,0,0,0,0.313714285714286,5,20
7.95,0,0,1,0,0,0,1.25660377358491,2,22
14.95,0,0,1,0,0,0,0.929765886287625,4,18.91
7.5,0,0,1,0,0,0,1.332,2,13.98
8.5,0,0,1,0,0,0,1.17529411764706,2,22
39.5,0,0,1,0,0,0,1.11139240506329,1,NaN
39.5,0,0,1,0,0,0,1.11240506329114,0,NaN
22.5,0,0,1,0,0,0,0.664,2,17.1
34.5,0,0,1,0,0,0,1.04057971014493,0,NaN
18.5,1,0,1,0,0,0,0.872972972972973,1,NaN
69.5,0,0,1,0,0,0,0.114244604316547,6,49
99.5,0,0,0,0,0,1,0.0727638190954774,9,69.34
35.5,0,1,0,0,0,0,0.420845070422535,2,16.21
16.5,0,0,0,0,1,0,0.996969696969697,1,NaN
16.5,0,0,0,0,1,0,0.996969696969697,4,23.23
59.5,0,0,0,0,0,0,0.201680672268908,8,43.5
17.5,0,0,0,0,1,0,0.94,1,NaN
49.95,0,0,0,0,0,0,0.259259259259259,6,36
39.5,0,0,0,0,0,0,0.214936708860759,6,26.05
24.5,0,0,0,0,0,0,1.00204081632653,0,NaN
16.5,0,0,0,0,0,0,0.256969696969697,3,13.75
16.5,0,0,0,0,0,0,0.256969696969697,4,12.52
15,0,0,0,0,0,0,0.282666666666667,4,11.25
29.5,0,0,1,0,1,0,0.505084745762712,5,36.95
57.5,0,0,1,0,1,0,0.259130434782609,6,51.85
29.5,0,0,1,0,1,0,0.505084745762712,4,34.95
22.5,0,0,1,0,1,0,0.662222222222222,5,36.04
16.5,0,0,1,0,1,0,0.903030303030303,4,25
16.5,0,0,1,0,1,0,0.903030303030303,5,23.45
17.5,0,0,1,0,1,0,0.851428571428571,5,21.44
16.5,0,0,1,0,1,0,0.903030303030303,3,18.44
16.5,0,0,0,0,1,0,0.844848484848485,2,23.94
24.5,0,0,0,0,0,0,0.346530612244898,6,24
10.5,0,0,0,0,0,0,0.38,5,9.5
72.5,0,0,0,0,0,0,0.0550344827586207,4,57.32
16.5,0,0,0,0,0,0,0.241818181818182,4,17.51
8.5,0,0,0,0,0,0,0.468235294117647,4,7.25
34.5,0,1,0,0,0,0,0.40231884057971,6,27.61
22.5,0,0,1,0,0,0,0.444444444444444,4,19.65
59.5,0,0,0,0,0,0,0.134117647058824,7,40.97
35.5,0,0,0,0,0,0,0.422535211267606,6,33
32.95,0,0,1,0,0,0,0.42185128983308,4,16.45
39.5,0,0,0,0,0,1,0.194683544303797,6,36.7
18.5,0,0,0,0,0,0,1.18378378378378,1,NaN
24.5,0,0,1,0,0,0,1.17959183673469,1,NaN
39.5,0,0,0,0,0,1,0.194683544303797,7,34.7
16.5,0,0,0,0,0,1,1.33212121212121,0,NaN
24.5,0,0,1,0,0,0,0.815918367346939,0,NaN
43.5,0,0,0,0,0,1,0.176781609195402,5,31.7
39.5,0,0,0,0,0,0,0.126329113924051,7,30.59
18.95,0,0,1,0,0,0,0.316094986807388,6,20
22.5,0,0,1,0,0,0,0.212603141361257,4,10.3235706806283
8.5,0,0,0,0,0,0,0.821176470588235,3,13.69
39.5,0,0,0,0,0,0,0.373164556962025,6,31
35.5,0,0,0,0,0,0,1.16619718309859,0,NaN
13.5,0,0,1,0,0,0,0.406666666666667,4,11.31
7.95,0,0,1,0,0,0,1.25660377358491,1,NaN
11.5,0,0,1,0,0,0,0.868695652173913,2,10.49
16.5,0,0,1,0,0,0,0.332727272727273,4,25
8.5,0,0,1,0,0,0,1.17529411764706,2,12.5
38.5,0,0,1,0,0,0,0.654545454545455,1,NaN
17.5,0,0,1,0,0,0,1.01142857142857,2,19.75
46.5,0,0,1,0,0,0,0.681720430107527,2,35.25
46.5,0,0,1,0,0,0,0.627956989247312,3,30.79
72.5,0,0,1,0,0,0,0.747586206896552,2,56.25
39.5,0,0,0,0,0,1,0.194683544303797,5,37.7
27.5,0,0,1,1,0,0,1.05090909090909,0,NaN
49.95,0,0,0,0,0,0,0.11991991991992,7,36
43.5,0,0,0,0,0,1,0.176781609195402,6,31.3
39.5,0,0,0,0,0,0,0.546835443037975,3,30.11
24.5,0,0,0,0,0,0,0.581224489795918,2,18.89
59.5,0,0,0,0,0,1,0.129243697478992,8,53.26
59.5,0,0,0,0,0,0,0.699159663865546,5,55.05
69.5,0,0,0,0,0,0,0.526618705035971,4,49.11
24.5,0,0,1,0,0,0,0.836326530612245,0,NaN
27.5,0,0,0,0,0,0,0.544727272727273,6,24.49
175,0,0,0,0,0,1,0.0439428571428571,4,136.7
11.5,0,0,1,0,0,0,0.520869565217391,2,11
8.5,0,0,0,0,0,0,0.821176470588235,2,8
10.5,0,0,1,0,0,0,0.57047619047619,2,9.26
8.95,0,0,1,0,0,0,0.66927374301676,3,9.35
7.95,1,0,1,0,0,0,0.753459119496855,2,9.26
8.5,0,0,0,0,0,0,0.605882352941177,2,6.9
16.5,0,0,1,0,0,0,0.210909090909091,12,14.59
9.5,0,0,0,0,0,0,0.736842105263158,0,NaN
25,0,0,0,0,0,0,0.318,4,22.69
17.5,0,0,0,0,0,0,0.454285714285714,5,17.45
8.95,0,0,1,0,0,0,0.440223463687151,5,10.44
9.5,0,0,1,0,0,0,0.414736842105263,4,11.5
24.5,0,0,0,0,0,0,0.611836734693878,1,NaN
24.5,0,1,1,0,0,0,0.244081632653061,4,10.51
39.5,0,1,1,0,0,0,0.151392405063291,3,19.89
39.5,0,0,0,0,0,0,0.227848101265823,3,28.51
57.5,0,0,0,0,1,0,0.0866086956521739,4,54.98
16.5,0,0,0,0,0,0,0.349307313977472,2,8.48357068062828
16.5,1,0,1,0,0,0,0.756969696969697,1,NaN
99.5,0,0,0,0,0,0,0.3678391959799,6,71
8.5,0,0,1,0,0,1,0.816470588235294,1,NaN
39.5,0,1,1,0,0,0,0.151392405063291,5,16.49
69.5,0,1,0,0,0,0,0.109208633093525,7,31.79
43.5,0,0,1,0,0,0,0.403218390804598,0,NaN
99.5,1,0,0,0,0,0,0.11035175879397,5,91.87
24.5,0,0,1,1,0,0,1.17959183673469,0,NaN
99.5,0,0,0,0,0,0,0.11035175879397,6,83.99
69.5,0,0,0,0,0,0,0.212425477419112,6,64.7635706806283
32.95,0,0,0,0,0,0,0.227314112291351,3,36.79
39.5,0,1,1,0,0,0,0.480759493670886,0,NaN
49.95,0,0,1,0,0,0,0.742742742742743,2,38.15
24.5,0,0,0,0,0,0,0.448163265306122,4,23
8.95,0,0,1,0,0,0,1.08379888268156,1,NaN
9.5,0,0,1,0,0,0,1.01052631578947,1,NaN
12.5,0,0,1,0,0,0,0.824,1,NaN
9.5,0,0,1,0,0,0,0.973684210526316,2,10.5
34.5,1,0,0,0,0,0,0.318260869565217,3,30.49
14.95,0,0,1,0,0,0,0.929765886287625,3,14.95
9.5,0,0,1,0,0,0,1.05157894736842,2,10.49
59.5,0,0,0,0,0,0,0.18453781512605,6,51.75
11.5,0,0,1,0,0,0,0.477391304347826,4,11.51
17.5,0,0,1,0,0,0,0.313714285714286,3,19.9
7.5,0,0,1,0,0,0,1.332,1,NaN
11.5,0,0,1,0,0,0,0.868695652173913,3,13.26
14.95,0,0,1,0,0,0,0.668227424749164,2,10.66
17.5,0,0,1,0,0,0,0.266285714285714,5,10.7
39.5,0,0,0,0,0,0,0.101012658227848,3,23.6
25,0,0,0,0,0,0,0.1396,5,29.52
39.5,0,0,0,0,0,1,0.194683544303797,6,31.79
175,0,0,0,0,0,0,0.0342285714285714,5,142.51
16.5,0,0,0,0,0,0,0.36,5,21.44
16.5,0,0,0,0,0,0,0.36,6,12.11
28.95,1,0,1,0,0,0,0.81692573402418,0,NaN
39.5,0,1,1,0,0,0,0.151392405063291,5,13.55
24.5,0,0,1,0,0,0,1.17959183673469,0,NaN
49.5,0,0,1,0,0,0,1.02828282828283,2,52.95
8.5,0,0,0,0,0,0,0.698823529411765,1,NaN
39.5,0,0,0,0,0,0,0.150379746835443,5,20.45
39.5,0,0,0,0,0,1,0.194683544303797,9,35.7
99.5,0,0,0,0,0,0,0.3678391959799,6,87.6
7.95,1,0,0,0,0,0,0.942138364779874,1,NaN
32.95,0,0,1,0,0,0,0.998482549317147,0,NaN
12.5,0,0,1,0,0,0,0.5272,3,11.2
39.5,0,0,1,0,0,0,0.122025316455696,9,40.15
18.95,0,0,0,0,0,0,0.342480211081794,6,19.5
59.5,0,0,0,0,0,1,0.129243697478992,6,52.79
49.5,0,0,0,0,0,0,0.838181818181818,4,48.5
17.95,0,0,1,0,0,0,0.333147632311978,3,15.5
24.5,0,0,0,0,0,0,0.204489795918367,7,19.05
27.5,0,0,1,0,0,0,0.578181818181818,4,31.4
16.5,0,0,1,0,0,0,0.363030303030303,5,15.5
27.5,1,0,1,0,0,0,0.156727272727273,5,26.64
35.5,0,0,0,0,0,1,0.216619718309859,6,35.7
59.5,0,0,1,0,0,0,0.0502521008403361,6,50.66
18.5,0,0,0,0,0,0,0.215675675675676,5,10.01
24.5,0,0,0,0,0,0,0.162857142857143,4,20.5
39.5,0,0,0,0,0,1,0.194683544303797,5,29.2
399.5,0,0,1,0,0,0,0.728660826032541,0,NaN
49.5,0,0,1,0,0,0,1.02828282828283,0,NaN
9.5,0,0,1,0,0,0,0.931578947368421,2,13.51
49.95,0,0,0,0,0,1,0.153953953953954,8,41.7
18.5,0,0,1,0,0,0,0.605405405405405,3,13
8.5,0,0,1,0,0,0,1.07647058823529,2,9.83
39.5,0,0,1,0,0,0,0.888607594936709,1,NaN
39.5,0,1,1,0,0,0,0.151392405063291,4,22.66
24.5,0,0,1,0,0,0,0.951020408163265,0,NaN
8.5,0,0,1,0,0,0,1.52823529411765,0,NaN
175,0,0,0,0,0,1,0.0439428571428571,9,158.7
175,0,0,0,0,0,0,0.131085714285714,9,141.58
19.95,0,0,1,0,0,0,0.724310776942356,2,15.5
42.5,0,0,1,0,0,0,0.768235294117647,1,NaN
29.5,0,0,0,0,0,0,0.491186440677966,5,36.5
39.5,0,0,1,0,0,0,0.682278481012658,3,30.85
28.5,0,0,1,0,0,0,0.629824561403509,3,24.95
8.5,0,0,1,0,0,0,1.40941176470588,0,NaN
27.5,0,1,1,0,0,0,0.217454545454545,4,19.08
29.5,0,0,1,0,0,0,0.20135593220339,8,42.95
39.5,0,0,1,0,0,0,0.145913181788058,4,35.7735706806283
9.5,1,0,1,0,0,0,0.629473684210526,3,9.24
